OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,bPM,ePM,PMSuffix,bPMc,ePMc,bOdometer,eOdometer,AlignCode,RouteType,Direction,Shape_Length
1,80,,80,PLA080.R.L,PLA,3,R,18.822,23.612,,R18.822,R23.612,120.341,125.131,Left,Interstate,WB,9937.7796902505
2,80,,80,PLA080...L,PLA,3,,0,18.822,,0.0,18.822,101.519,120.341,Left,Interstate,WB,38934.8194372522
3,80,,80,SAC080...L,SAC,3,,11.675,18,,11.675,18.0,95.194,101.519,Left,Interstate,WB,13042.2930831684
4,80,,80,YOL080...L,YOL,3,,0,9.552,,0.0,9.552,72.206,81.758,Left,Interstate,WB,19596.6642070027
5,80,,80,SOL080.R.L,SOL,4,R,42.883,44.72,,R42.883,R44.72,70.369,72.206,Left,Interstate,WB,3781.42600059974
6,80,,80,SOL080.R.L,SOL,4,R,24.724,29.234,,R24.724,R29.234,52.224,56.734,Left,Interstate,WB,9246.58356219361
7,80,,80,SOL080.R.L,SOL,4,R,22.134,23.221,,R22.134,R23.221,49.636,50.723,Left,Interstate,WB,2232.51148751756
8,80,,80,SOL080.R.L,SOL,4,R,9.426,12.215,,R9.426,R12.215,36.917,39.706,Left,Interstate,WB,5700.8060280752
9,80,,80,NAP080...L,NAP,4,,6.814,8.004,,6.814,8.004,34.305,35.495,Left,Interstate,WB,2432.72643062839
10,80,,80,CC.080...L,CC,4,,0,14.139,,0.0,14.139,13.352,27.491,Left,Interstate,WB,28870.9584589562
11,80,,80,ALA080...L,ALA,4,,7.784,8.036,,7.784,8.036,13.1,13.352,Left,Interstate,WB,534.694112544333
12,80,,80,ALA080.R.L,ALA,4,R,6.899,7.771,,R6.899,R7.771,12.228,13.1,Left,Interstate,WB,1821.6292715436
13,80,,80,ALA080.R.L,ALA,4,R,0,1.646,,R0.0,R1.646,5.326,6.972,Left,Interstate,WB,3371.63517826628
14,80,,80,SF.080.R.L,SF,4,R,7.89,8.866,,R7.89,R8.866,4.35,5.326,Left,Interstate,WB,2043.99293446578
15,80,,80,SF.080..LL,SF,4,,5.044,7.89,L,5.044L,7.89L,1.504,4.35,Left Independent,Interstate,WB,5850.50900953025
16,80,,80,SF.080...L,SF,4,,3.836,4.992,,3.836,4.992,0.348,1.504,Left,Interstate,WB,2223.49449447583
17,80,,80,SF.080.L.L,SF,4,L,3.786,4.134,,L3.786,L4.134,0,0.348,Left,Interstate,WB,605.685454563982
18,79,,79,RIV079...R,RIV,8,,36.308,40.449,,36.308,40.449,91.47,95.611,Right,State,NB,8055.40643269069
19,79,,79,RIV079.M.R,RIV,8,M,31.71,33.793,,M31.71,M33.793,87.104,89.187,Right,State,NB,3919.87688704729
20,79,,79,RIV079.R.R,RIV,8,R,7.876,19.16,,R7.876,R19.16,75.069,86.353,Right,State,NB,21494.5029401483
21,79,,79,RIV079...R,RIV,8,,7.208,15.74,,7.208,15.74,63.031,71.563,Right,State,NB,16533.5630025155
22,79,,79,RIV079.L.R,RIV,8,L,7.207,7.322,,L7.207,L7.322,62.916,63.031,Right,State,NB,212.080319576164
23,79,,79,SD.079.R.R,SD,11,R,39.683,40.251,,R39.683,R40.251,42.376,42.944,Right,State,NB,1092.32782482989
